Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
IRT,Independence Realty Trust Inc. Common Stock,2013,1281289103,371574,Consumer Services,Real Estate Investment Trusts
ISD,PGIM High Yield Bond Fund Inc.,2012,503506817,91229,,
IT,Gartner Inc. Common Stock,1993,14035003567,454834,Consumer Services,Other Consumer Services
ITGR,Integer Holdings Corporation Common Stock,,2529415272,188485,Miscellaneous,Industrial Machinery/Components
ITT,ITT Inc. Common Stock ,2011,6712416000,283609,Capital Goods,Fluid Controls
ITW,Illinois Tool Works Inc. Common Stock,,62446282293,914192,Technology,Industrial Machinery/Components
IVC,Invacare Corporation Common Stock,,321808721,167972,Health Care,Industrial Specialties
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,2009,714618678,18066429,Consumer Services,Real Estate Investment Trusts
IVZ,Invesco Ltd Common Stock,,9889484983,6233266,Finance,Investment Managers
J,Jacobs Engineering Group Inc. Common Stock,,13599951999,1127108,Basic Industries,Military/Government/Technical
JBGS,JBG SMITH Properties Common Shares ,2017,3997784706,513301,Consumer Services,Real Estate Investment Trusts
JBK,Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I,,0,100,Finance,Finance: Consumer Services
JBL,Jabil Inc. Common Stock,1993,6358451798,1166498,Technology,Electrical Products
JBT,John Bean Technologies Corporation Common Stock,,3829397269,127982,Technology,Industrial Machinery/Components
JCE,Nuveen Core Equity Alpha Fund Nuveen Core Equity Alpha Fund Common Shares of Beneficial Interest,2007,226012862,53466,,
JCO,Nuveen Credit Opportunities 2022 Target Term Fund Common Shares of Beneficial Interest,2017,228862697,79846,,
JDD,Nuveen Diversified Dividend and Income Fund Shares of Beneficial Interest,2003,172891889,41099,,
JEF,Jefferies Financial Group Inc. Common Stock,,5966551390,2615525,Finance,Investment Bankers/Brokers/Service
JELD,JELD-WEN Holding Inc. Common Stock,2017,2768656689,344365,Basic Industries,Forest Products
JEQ,Aberdeen Japan Equity Fund Inc.  Common Stock,1992,126710665,10250,,
JFR,Nuveen Floating Rate Income Fund Common Stock,2004,523649906,523541,,
JGH,Nuveen Global High Income Fund Common Shares of Beneficial Interest,2014,353223469,29942,,
JHI,John Hancock Investors Trust Common Stock,,153243640,5770,,
JHS,John Hancock Income Securities Trust Common Stock,,180987915,29401,,
JLL,Jones Lang LaSalle Incorporated Common Stock,,7889872837,430541,Finance,Real Estate
JLS,Nuveen Mortgage and Income Fund,2009,108870810,18463,,
JMM,Nuveen Multi-Market Income Fund (MA),,67939673,8899,,
JMP,JMP Group LLC Common Shares,2007,82596977,11796,Finance,Investment Bankers/Brokers/Service
JNJ,Johnson & Johnson Common Stock,,4.45321E+11,8933556,Health Care,Major Pharmaceuticals
JNPR,Juniper Networks Inc. Common Stock,1999,8609416725,8226521,Technology,Computer Communications Equipment
JOE,St. Joe Company (The) Common Stock,,2666790644,254870,Consumer Services,Homebuilding
JOF,Japan Smaller Capitalization Fund Inc Common Stock,1990,250188275,360294,,
JPC,Nuveen Preferred & Income Opportunities Fund,2003,952934474,247483,,
JPM,JP Morgan Chase & Co. Common Stock,,3.96757E+11,13753449,Finance,Major Banks
JPS,Nuveen Preferred & Income Securities Fund,2002,1905341766,480736,,
JPT,Nuveen Preferred and Income 2022 Term Fund Common Shares of Beneficial Interest,2017,167901869,1941,,
JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest,2003,869255549,707993,,
JRI,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest,2012,370833930,145939,,
JRO,Nuveen Floating Rate Income Opportuntiy Fund Shares of Beneficial Interest,2004,371357557,190292,,
JRS,Nuveen Real Estate Income Fund Common Shares of Beneficial Interest,2001,247030627,142505,,
JSD,Nuveen Short Duration Credit Opportunities Fund Common Shares of Beneficial Interest,2011,137568239,35000,,
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund Common Share of Beneficial Interest,2004,133107120,23577,,
JTD,Nuveen Tax-Advantaged Dividend Growth Fund Common Shares of Beneficial Interest,,205822471,40892,,
JW/A,John Wiley & Sons Inc.,,,254796,,
JW/B,John Wiley & Sons Inc.,,,290,,
JWN,Nordstrom Inc. Common Stock,,5739680055,7162769,Consumer Services,Clothing/Shoe/Accessory Stores
K,Kellogg Company Common Stock,,20681209766,3269945,Consumer Non-Durables,Packaged Foods
KAI,Kadant Inc Common Stock,,1656570971,50034,Technology,Industrial Machinery/Components
KAMN,Kaman Corporation Common Stock,,1458598611,122007,Capital Goods,Military/Government/Technical
KAR,KAR Auction Services Inc Common Stock,2009,2385983650,2713355,Consumer Durables,Automotive Aftermarket
KBH,KB Home Common Stock,1986,4169735355,2573690,Capital Goods,Homebuilding
KBR,KBR Inc. Common Stock,2006,4180318464,891969,Basic Industries,Military/Government/Technical
KEX,Kirby Corporation Common Stock,,3141840870,796655,Consumer Services,Marine Transportation
KEY,KeyCorp Common Stock,,16900388360,9003195,Finance,Major Banks
KEYS,Keysight Technologies Inc. Common Stock,2014,27061797624,2931767,Capital Goods,Industrial Machinery/Components
KF,Korea Fund Inc. (The) New Common Stock,,220417704,6652,,
KFY,Korn Ferry Common Stock,1999,2539396897,308294,Technology,Diversified Commercial Services
KIM,Kimco Realty Corporation Common Stock,,7568726585,7701575,Consumer Services,Real Estate Investment Trusts
KKR,KKR & Co. Inc. Common Stock,,22164223398,2067017,Finance,Investment Managers
KMB,Kimberly-Clark Corporation Common Stock,,45778692000,2421531,Consumer Durables,Containers/Packaging
KMI,Kinder Morgan Inc. Common Stock,2011,33251339213,24457733,Public Utilities,Natural Gas Distribution
KMPR,Kemper Corporation,,4685858922,200893,Finance,Property-Casualty Insurers
KMT,Kennametal Inc. Common Stock,,3217785876,741458,Capital Goods,Industrial Machinery/Components
KMX,CarMax Inc,,19714652592,1785648,Consumer Durables,Automotive Aftermarket
KNL,Knoll Inc. Common Stock,2004,798749155,203695,Consumer Durables,Office Equipment/Supplies/Services
KNX,Knight-Swift Transportation Holdings Inc.,2017,6935919971,4012876,Transportation,Trucking Freight/Courier Services
KO,Coca-Cola Company (The) Common Stock,,2.11219E+11,17488243,Consumer Non-Durables,Beverages (Production/Distribution)
KODK,Eastman Kodak Company Common New,,761602028,16075052,Miscellaneous,Industrial Machinery/Components
KOP,Koppers Holdings Inc. Koppers Holdings Inc. Common Stock,2006,715170907,241753,Basic Industries,Forest Products
KR,Kroger Company (The) Common Stock,,26936458983,28533203,Consumer Services,Food Chains
KRA,Kraton Corporation Common Stock,2009,916635700,248781,Basic Industries,Major Chemicals
KRC,Kilroy Realty Corporation Common Stock,1997,6537044434,2061586,Consumer Services,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,2017,970002824,217342,Consumer Services,Real Estate Investment Trusts
KRG,Kite Realty Group Trust Common Stock,2004,1430618620,606709,Consumer Services,Real Estate Investment Trusts
KRO,Kronos Worldwide Inc Common Stock,,1707721357,147292,Basic Industries,Major Chemicals
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,2017,525118061,222814,Energy,Oil & Gas Production
KSM,DWS Strategic Municipal Income Trust,1989,133214858,173978,,
KSS,Kohl's Corporation Common Stock,1992,7203137928,4639480,Consumer Services,Department/Specialty Retail Stores
KSU,Kansas City Southern Common Stock,,19467250161,715652,Transportation,Railroads
KTF,DWS Municipal Income Trust,1988,463741012,249098,,
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,,0,460,Finance,Finance: Consumer Services
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS),,0,768,Finance,Finance: Consumer Services
KW,Kennedy-Wilson Holdings Inc. Common Stock,,2424993422,402645,Finance,Real Estate
KWR,Quaker Chemical Corporation Common Stock,,4867306985,71620,Basic Industries,Major Chemicals
KYN,Kayne Anderson Energy Infrastructure Fund Inc.,2004,816851199,573338,,
L,Loews Corporation Common Stock,,12655147027,657294,Finance,Property-Casualty Insurers
LAD,Lithia Motors Inc. Common Stock,,8480346319,327054,Consumer Durables,Automotive Aftermarket
LB,L Brands Inc.,,11522037765,15714914,Consumer Services,Clothing/Shoe/Accessory Stores
LBRT,Liberty Oilfield Services Inc. Class A Common Stock,2018,2194140209,527352,Energy,Oilfield Services/Equipment
LC,LendingClub Corporation Common Stock,2014,891852712,808561,Finance,Finance: Consumer Services
LCI,Lannett Co Inc Common Stock,,351533504,1871768,Health Care,Major Pharmaceuticals
LCII,LCI Industries,,3324125283,117166,Capital Goods,Auto Parts:O.E.M.
LDL,Lydall Inc. Common Stock,,542997596,107454,Capital Goods,Auto Parts:O.E.M.
LDOS,Leidos Holdings Inc. Common Stock,,15450365697,772504,Technology,EDP Services
LDP,Cohen & Steers Limited Duration Preferred and Income Fund Inc.,2012,748776045,24913,,
LEA,Lear Corporation Common Stock,,9214152180,580005,Capital Goods,Auto Parts:O.E.M.
LEAF,Leaf Group Ltd. Common Stock,,196549613,255203,Technology,EDP Services
LEAP,Ribbit LEAP Ltd. Class A Ordinary Shares,2020,809709200,103067,Finance,Business Services
LEAP.U,Ribbit LEAP Ltd. Units each consisting of one Class A Ordinary Share and one fifth of one Warrant to acquire one Class A Ordinary Share,2020,,0,,
LEAP.WS,Ribbit LEAP Ltd. Warrants each whole warrant exercisable for one Class A Ordinary Share at an exercise price of $11.50,,,0,,
LEE,Lee Enterprises Incorporated Common Stock,,79919764,106879,Consumer Services,Newspapers/Magazines
LEG,Leggett & Platt Incorporated Common Stock,,5612176050,862720,Consumer Durables,Home Furnishings
LEN,Lennar Corporation Class A Common Stock,,26362140674,2638500,Basic Industries,Homebuilding
